event,slug,title,youtube,description,speaker_name,speaker_slug,speaker_company,speaker_bio,speaker_twitter,speaker_interview
la_conference_2019,five-easy-ways-nerves,Five Easy Ways To Start With Nerves,,"Writing code that touches the real world is a magical experience. Nerves makes the software more approachable and much more powerful. Come see five fun projects that you can build from beginning to end without reading spec sheets or thinking about capacitors. From a garage controller, to LEDs and sprinkler controllers there are a lot of cool things you can build from scratch.",Michael Ries,michael-ries,,"Michael builds systems with Elixir and Ruby in Utah. He spends most evenings reading and building legos with his children. He organizes the Nerves Remote Meetup to discuss hardware and software with friends and hopes to one day build a robot that doesn't scare his children.
",mmmries,
la_conference_2019,where-do-i-put-my-data,Where did I put my data?,,"A look at how Amnesia's Elixir wrapper over Erlang's Mnesia distributed DBMS can be used to keep your application state in a scalable resilient manner. We will start by looking at Agents and GenServers as they are primarily the first thing people reach for when storing state. From there we will show how we can gain performance, remove bottlenecks, and increase stability by using ETS. Finally we examine how a more robust Amnesia solution can help systems scale beyond a single node, allowing the system to not only support higher loads but increase resiliency.",Alex Peachey,alex-peachey,Versus Systems,"Alex has been developing software for over two decades and has been focused on exploring and using Elixir for the past two years. Most recently he has worked with the rest of his great team at Versus Systems to rebuild the platform in Elixir, paving the way to making many more games more fun. When not crafting code, Alex enjoys playing games of all types.


",alex_peachey,
la_conference_2019,elixir-and-datadog,Elixir and Datadog,,"Having an Elixir application deployed it's crucial to have good insight into your architecture for multiple reasons. High level of observability helps you scale, improve your system's performance, optimise, debug and decide how to develop your product further.Good understanding of what your system is doing is even more important when it grows in time and uses more and more third party components that you don't have much influence over.

In my presentation I'm going to share my experience with integrating a significantly large Elixir system, with a state of the art monitoring service - Datadog. I'm going to explain how various features it offers, like metrics, live tracing, logging and analysis tools helped find number of non-obvious bottlenecks in the code.",Ludwik Bukowski,ludwik-bukowski,Erlang Solutions,"Ludwik is a functional programming enthusiast who to move with the times has been recently converted from Erlang to Elixir.

He works as Software Engineer in Erlang Solutions in Kraków, and likes to travel and play squash.",ludwikbukowski,
la_conference_2019,first-trillion-flow,Lessons From Our First Trillion Messages with Flow,,"For many of us recent Elixir converts, our initial attraction to Elixir was rooted in the promise of access to the BEAM concurrency model.

While this has been possible in Elixir from day one, Flow has made it incredibly easy to build highly concurrent and parallel data pipelines utilizing the BEAM. The problem is that while the docs are great, there aren't many resources about running Flow-based systems in production.

In this talk I'll share some of the lessons my team has learned from processing our first trillion messages through Flow. You'll leave with practical knowledge you can directly apply to your applications.

For the last year, my team & I have been using Flow to power a reactive, high volume and mission-critical data processing pipeline. In that time we've recognized some patterns and techniques to keep our system easy to reason about while also being flexible to handle a variety of requirements.",John Mertens,john-mertens,Change.org,"John is a problem solver who has spent the majority of his career using his technical skills to have a positive impact on the world around him. A former Code for America fellow and civic tech startup co-founder, he currently uses Elixir to empower social action at Change.org.",mertonium,
la_conference_2019,fake-it-til-you-make-it-haskell,Fake It 'Til You Make It (where it = Haskell expertise),,"In 2016, Magazine X asked Position Development to expand their existing Haskell app. Instead of only serving ecommerce forms via iframes in their WordPress website, their Haskell app would serve everything, including every article from the magazine and blog. Magazine X editors would continue to use WordPress to write and edit articles, but the Haskell server would request content through the WordPress JSON API and render templates. The magazine also wanted several new subscription, mailing list, and donation features. Early into the project, the original creator of the app left Position to begin a career in research. I was suddenly the most experienced Haskell developer on my team, while I still had less than a year of professional experience in tech. In this talk, I'll discuss both a) the technical aspects of the work and b) what it was like to try to make it all happen as part of a very small team of non-expert Haskellers. Some of the topics I'll touch on include:

- Larceny, our HTML templating language
- Offset, our library for rendering content from JSON APIs
- Position's workflow for developing, testing, and deploying Haskell apps
- Feeling disconnected from the larger language community, struggling with imposter syndrome, and continuing to learn and grow as a functional programmer 

In 2017, Magazine X relaunched with a bold new website. Getting to launch was a bit rocky, but for the past year we've been able to continue integrating more new features and designs into a fast, secure, and mobile-friendly Haskell app.
",Libby Horacek,libby-horacek,,"Libby is a software developer with an interest building excellent, sustainable technical infrastructure for growing organizations. In 2014, she received a grant to study at the Recurse Center, which allowed her to move from her home state of West Virginia to NYC. After studying functional programming at RC, she joined The Learning Collective, a group of activists teaching each other to create software for power-distant publics. There she met Daniel Patterson, then a worker-owner at Position, who encouraged her to apply to work with Position. Libby has also spoken at conferences and technical meetups including Allied Media Conference, !!Con, AlterConf DC, and Haskell Users Group.",horrorcheck,
la_conference_2019,elixir-api-accessible,Making your Elixir API Accessible to non-Elixir developers,,"This talk will describe tools, application best practices, and team collaboration tips that make consuming and working with an Elixir API easier for those not familiar with Elixir. I will talk about how I went from programing in only Javascript to working full stack at Versus Systems, what things we did to inspire engineers to work full stack. Some topics I will explore are useful testing, documentation, and scripts, as well as application organization, and effective teamwork.",Kalisa Falzone,kalisa-falzone,Versus Systems,"Kalisa Falzone is a Software Engineer at Versus Systems. She specializes in Javascript and React, but has been working with Elixir and full stack more recently. She has an educational background in Mathematics, loves board games and music.
",KalisaFalzone,
la_conference_2019,mix-feelings,You might say I have 🕶 mix feelings,,"Yes, Elixir’s great, it’s based on Erlang, making it fault tolerant and scalable. But a few months with it day-to day, am I still singing its praises?",Aaron Harpole,aaron-harpole,Carbon Five,"Originally hailing from the Midwest, Aaron made the trek out to Los Angeles in 2010 to work for one of those exciting internet startups he’d been hearing so much about. Since then, he’s led teams at LA-based startups Fullscreen and Ring, both of which are all grown up now. He currently works at Carbon Five, where he’s been working with such languages as Ruby (his long time favorite) and more recently Elixir (current frontrunner to become new long time favorite). His clicky keyboard collection grows at a rate of about 1 per 1.4 months, but he can stop whenever he wants. ",haarpa01,
la_conference_2019,handling-null-functional-programming,Handling Null in Functional Programming,,"Nulls are a fact of life—sometimes a value can be absent, which is important information to have However if a variable can be null, we often have to write extra code to handle that possibility. How can we utilize functional, typed languages to only allow null where it communicates important information and eliminate it everywhere else? This talk will identify patterns to do just that and discuss how they can help shape your application’s architecture.",Evelyn Masso,evelyn-masso,GitHub,"Evelyn Masso is a person (all the time), a developer+designer (on weekdays), and a poet (on weekends). She currently works as an Application Engineer on the GitHub Desktop Client and contributes to p5js. 
",outofambit,
la_conference_2019,elixir-code-is-elixir-metaprogramming,Elixir Code is Elixir! Metaprogramming and Elixir,,"Elixir is a programming language that has become dear to me as it has become my go-to choice for most of the things at work and personal projects. One thing that people notice when getting started with Elixir is that, in fact, a good chunk of it is written in Elixir. Now you might be thinking, ""Wait. What? How can that be?"". Well, the short answer is: metaprogramming.

Metaprogramming doesn’t have to be too scary to think about and it’s not so bad at all. I’ll show examples of the standard library where functionality is written in Elixir and I will also dive into extending Elixir by writing our own macros. But by also diving into the Elixir-lang code base we can explore the bootstrap process and see how you can start implementing Elixir in Elixir.",Adrian Cruz,adrian-cruz,,"Adrian is a senior software engineer, runner, and sometimes a speaker. Adrian works on search, product discovery, and growth. He is an Elixir enthusiast and has contributed to Elixir-lang and its ecosystem. Outside of coding, he can be found running the streets of New York. ",drincruz,
la_conference_2019,go-vs-elixir,Go vs Elixir:  A concurrency comparison,,"As software engineers we often are looking for the best tool for the job. Yet what about when languages appear similar? What then?

In this talk we will compare Go and Elixir. These languages have similar principles but make core tradeoffs that affect when one might use them. We will specifically compare their concurrency paradigms to see what tool we might use when.",Anna Neyzberg,anna-neyzberg,Carbon Five,"Anna is a San Francisco native who has done a lot of work in the ruby community in SF and currently sits on the board of RailsBridge. She has taken this community organizing experience and several year go co-founded ElixirBridge in SF - an organization that offers free weekend-long workshops, with the goal of creating an inclusive welcoming space for underrepresented populations in tech to learn elixir. By day she works as a Developer at Carbon Five. When not in front of a keyboard, she is trying to get better at climbing rocks.",aneyzb,
